,년월,지역,국가명,화물(톤)
476,2019-06,아시아,일본,38046
477,2019-07,아시아,일본,37671
478,2019-08,아시아,일본,35607
479,2019-09,아시아,일본,31352
480,2019-10,아시아,일본,32236
481,2019-11,아시아,일본,32764
482,2019-12,아시아,일본,33626
483,2020-01,아시아,일본,30786
484,2020-02,아시아,일본,29626
485,2020-03,아시아,일본,22728
486,2020-04,아시아,일본,23090
487,2020-05,아시아,일본,18679
488,2020-06,아시아,일본,18881
489,2020-07,아시아,일본,20282
490,2020-08,아시아,일본,20154
491,2020-09,아시아,일본,22398
492,2020-10,아시아,일본,24646
493,2020-11,아시아,일본,25157
494,2020-12,아시아,일본,27143
495,2021-01,아시아,일본,25473
496,2021-02,아시아,일본,26069
497,2021-03,아시아,일본,29710
498,2021-04,아시아,일본,28489
499,2021-05,아시아,일본,25016
500,2021-06,아시아,일본,26447
501,2021-07,아시아,일본,26708
502,2021-08,아시아,일본,25228
503,2021-09,아시아,일본,28038
504,2021-10,아시아,일본,26400
505,2021-11,아시아,일본,24975
506,2021-12,아시아,일본,26157
507,2022-01,아시아,일본,21677
508,2022-02,아시아,일본,23682
509,2022-03,아시아,일본,28276
510,2018-01,아시아,홍콩,24325
511,2018-02,아시아,홍콩,19599
512,2018-03,아시아,홍콩,24852
513,2018-04,아시아,홍콩,24472
514,2018-05,아시아,홍콩,25089
515,2018-06,아시아,홍콩,24174
516,2018-07,아시아,홍콩,24676
517,2018-08,아시아,홍콩,26162
518,2018-09,아시아,홍콩,25644
519,2018-10,아시아,홍콩,26236
520,2018-11,아시아,홍콩,26343
521,2018-12,아시아,홍콩,25789
522,2019-01,아시아,홍콩,23529
523,2019-02,아시아,홍콩,17941
524,2019-03,아시아,홍콩,24633
525,2019-04,아시아,홍콩,23726
526,2019-05,아시아,홍콩,23564
527,2019-06,아시아,홍콩,22698
528,2019-07,아시아,홍콩,22998
529,2019-08,아시아,홍콩,22960
530,2019-09,아시아,홍콩,22394
531,2019-10,아시아,홍콩,24474
532,2019-11,아시아,홍콩,24749
533,2019-12,아시아,홍콩,25347
534,2020-01,아시아,홍콩,21333
535,2020-02,아시아,홍콩,17792
536,2020-03,아시아,홍콩,20307
537,2020-04,아시아,홍콩,18915
538,2020-05,아시아,홍콩,18753
539,2020-06,아시아,홍콩,17643
540,2020-07,아시아,홍콩,21565
541,2020-08,아시아,홍콩,22218
542,2020-09,아시아,홍콩,23166
543,2020-10,아시아,홍콩,22031
544,2020-11,아시아,홍콩,23317
545,2020-12,아시아,홍콩,24450
546,2021-01,아시아,홍콩,23069
547,2021-02,아시아,홍콩,17041
548,2021-03,아시아,홍콩,21115
549,2021-04,아시아,홍콩,20255
550,2021-05,아시아,홍콩,20482
551,2021-06,아시아,홍콩,20735
552,2021-07,아시아,홍콩,21479
553,2021-08,아시아,홍콩,21012
554,2021-09,아시아,홍콩,22705
555,2021-10,아시아,홍콩,22108
556,2021-11,아시아,홍콩,22802
557,2021-12,아시아,홍콩,23061
558,2022-01,아시아,홍콩,22739
559,2022-02,아시아,홍콩,16623
560,2022-03,아시아,홍콩,20440
